Team,Year,player_BPM_mean,player_BPM_max,player_BPM_std,player_BPM_count,player_ORtg_mean,player_ORtg_max,player_ORtg_min,player_PRPG!_mean,player_PRPG!_max,player_PRPG!_sum,player_Usg_mean,player_Usg_max,player_Usg_sum,player_eFG_mean,player_eFG_max,player_TS_mean,player_TS_max,player_Min%_sum,player_Min%_max,player_Ast_mean,player_Ast_max,player_TO_mean,player_Blk_mean,player_Blk_max,player_Stl_mean,player_Stl_max,player_Class Year_<lambda>
Purdue Fort Wayne,2019,8.2,8.2,,1,119.9,119.9,119.9,5.0,5.0,5.0,28.3,28.3,28.3,59.1,59.1,62.3,62.3,86.8,86.8,30.0,30.0,16.6,3.0,3.0,3.3,3.3,1
Quinnipiac,2019,5.4,5.4,,1,116.8,116.8,116.8,4.7,4.7,4.7,29.2,29.2,29.2,59.4,59.4,63.6,63.6,87.7,87.7,13.6,13.6,16.2,0.9,0.9,1.9,1.9,1
Radford,2020,8.4,8.4,,1,119.9,119.9,119.9,5.4,5.4,5.4,31.4,31.4,31.4,53.1,53.1,58.9,58.9,83.9,83.9,36.1,36.1,13.5,0.7,0.7,2.3,2.3,0
Rice,2023,6.2,6.2,,1,129.0,129.0,129.0,4.6,4.6,4.6,19.7,19.7,19.7,73.2,73.2,72.0,72.0,77.2,77.2,32.5,32.5,22.7,3.7,3.7,1.4,1.4,0
SMU,2019,4.6,4.6,,1,117.0,117.0,117.0,4.7,4.7,4.7,25.2,25.2,25.2,55.9,55.9,58.3,58.3,81.7,81.7,17.7,17.7,12.7,0.4,0.4,1.3,1.3,1
SMU,2020,4.0,4.0,,1,116.5,116.5,116.5,5.0,5.0,5.0,23.9,23.9,23.9,49.8,49.8,55.7,55.7,73.9,73.9,39.2,39.2,17.9,0.4,0.4,2.0,2.0,0
SMU,2021,9.7,9.7,,1,121.6,121.6,121.6,6.5,6.5,6.5,27.6,27.6,27.6,53.4,53.4,58.3,58.3,86.8,86.8,46.2,46.2,14.1,0.2,0.2,2.6,2.6,0
SMU,2022,7.0,7.0,,1,115.8,115.8,115.8,5.4,5.4,5.4,27.6,27.6,27.6,53.1,53.1,60.3,60.3,83.5,83.5,28.0,28.0,16.3,0.3,0.3,2.6,2.6,1
Saint Francis,2023,5.0,5.0,,1,118.4,118.4,118.4,4.9,4.9,4.9,29.9,29.9,29.9,58.5,58.5,60.5,60.5,86.4,86.4,17.4,17.4,10.5,2.7,2.7,1.5,1.5,0
Saint Mary's,2019,7.5,7.5,,1,119.9,119.9,119.9,6.0,6.0,6.0,27.5,27.5,27.5,55.7,55.7,59.5,59.5,91.9,91.9,14.9,14.9,11.7,0.1,0.1,2.1,2.1,0
Saint Mary's,2020,7.4,7.4,,1,119.3,119.3,119.3,6.2,6.2,6.2,27.0,27.0,27.0,56.1,56.1,59.6,59.6,93.4,93.4,13.8,13.8,9.0,0.1,0.1,2.2,2.2,1
San Diego St,2020,10.9,10.9,,1,121.5,121.5,121.5,5.6,5.6,5.6,27.1,27.1,27.1,53.2,53.2,58.3,58.3,84.8,84.8,30.2,30.2,11.7,0.4,0.4,3.1,3.1,0
San Diego St,2021,9.7,9.7,,1,130.9,130.9,130.9,4.7,4.7,4.7,18.7,18.7,18.7,62.2,62.2,65.3,65.3,73.4,73.4,6.8,6.8,8.0,0.7,0.7,2.0,2.0,1
San Diego St,2024,10.1,10.1,,1,119.7,119.7,119.7,5.9,5.9,5.9,30.5,30.5,30.5,57.6,57.6,62.3,62.3,79.3,79.3,10.2,10.2,13.9,1.9,1.9,2.2,2.2,1
San Francisco,2024,10.5,10.5,,1,128.0,128.0,128.0,4.6,4.6,4.6,24.5,24.5,24.5,62.5,62.5,63.9,63.9,72.9,72.9,24.3,24.3,14.7,3.4,3.4,3.2,3.2,0
San Jose St,2023,6.1,6.1,,1,110.0,110.0,110.0,4.7,4.7,4.7,28.1,28.1,28.1,49.2,49.2,52.5,52.5,91.1,91.1,30.6,30.6,16.1,2.1,2.1,1.3,1.3,0
Santa Clara,2022,5.5,5.5,,1,116.1,116.1,116.1,5.1,5.1,5.1,24.9,24.9,24.9,56.2,56.2,60.1,60.1,86.7,86.7,22.7,22.7,13.6,1.5,1.5,1.9,1.9,0
